indexID,ticker,porgFullName,secShortName,exchangeCD,tradeDate,preCloseIndex,openIndex,lowestIndex,highestIndex,closeIndex,turnoverVol,turnoverValue,CHG,CHGPct
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-04-24,4414.508,4355.951,4318.119,4416.376,4393.686,62855499600,9.16872935533e+11,-20.822,-0.004717
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-04-27,4393.686,4441.929,4441.929,4529.735,4527.396,67108852100,9.7524209376e+11,133.71,0.030432
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-04-28,4527.396,4527.635,4432.904,4572.391,4476.215,76767641600,1.06114455642e+12,-51.181,-0.011305
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-04-29,4476.215,4446.119,4398.639,4499.945,4476.62,51983420200,7.5240178594e+11,0.405,9e-05
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-04-30,4476.62,4483.013,4441.054,4507.344,4441.655,52672797500,7.74349211674e+11,-34.965,-0.007811
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-05-04,4441.655,4441.343,4387.426,4487.57,4480.464,49417339800,7.17540809442e+11,38.809,0.008738
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-05-05,4480.464,4479.848,4282.237,4488.865,4298.706,57285859600,8.05566079218e+11,-181.758,-0.040567
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-05-06,4298.706,4311.641,4187.368,4376.353,4229.266,48173299300,7.16536206667e+11,-69.44,-0.016154
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-05-07,4229.266,4197.896,4108.009,4213.764,4112.214,39456665300,5.40206291394e+11,-117.052,-0.027677
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-05-08,4112.214,4152.984,4099.042,4206.86,4205.917,39742809400,5.59648658845e+11,93.703,0.022787
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-05-11,4205.917,4231.271,4187.82,4334.877,4333.584,48875051500,7.15246611473e+11,127.667,0.030354
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-05-12,4333.584,4342.37,4317.975,4402.309,4401.219,52186640800,7.93463723357e+11,67.635,0.015607
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-05-13,4401.219,4402.378,4342.481,4415.629,4375.76,51049047500,7.80754937529e+11,-25.459,-0.005785
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-05-14,4375.76,4372.816,4329.042,4397.745,4378.311,44907793500,6.69882275551e+11,2.551,0.000583
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-05-15,4378.311,4366.822,4278.553,4366.822,4308.691,43970619800,6.65965618548e+11,-69.62,-0.015901
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-05-18,4308.691,4277.895,4260.509,4324.826,4283.491,38005745200,5.94559493076e+11,-25.2,-0.005849
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-05-19,4283.491,4285.777,4285.777,4418.403,4417.552,43673522400,6.93812586577e+11,134.061,0.031297
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-05-20,4417.552,4434.979,4432.279,4520.538,4446.288,51410622300,8.06080531967e+11,28.736,0.006505
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-05-21,4446.288,4456.435,4438.258,4530.478,4529.422,46499652000,7.29080613491e+11,83.134,0.018697
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-05-22,4529.422,4584.984,4562.989,4658.273,4657.596,65559128700,1.00716738738e+12,128.174,0.028298
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-05-25,4657.596,4660.075,4656.825,4814.672,4813.798,68246139100,1.0792868013e+12,156.202,0.033537
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-05-26,4813.798,4854.85,4779.075,4911.685,4910.897,70489282900,1.13850167187e+12,97.099,0.020171
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-05-27,4910.897,4932.846,4857.056,4958.156,4941.714,68116537900,1.1162567967e+12,30.817,0.006275
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-05-28,4941.714,4943.742,4614.241,4986.503,4620.266,78296459200,1.24792602624e+12,-321.448,-0.065048
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-05-29,4620.266,4603.465,4431.563,4698.193,4611.744,61126240900,9.55365592128e+11,-8.522,-0.001844
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-06-01,4611.744,4633.098,4615.231,4829.502,4828.738,59338903500,9.34455504512e+11,216.994,0.047052
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-06-02,4828.738,4844.704,4797.552,4911.574,4910.527,62374809900,9.98745749729e+11,81.789,0.016938
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-06-03,4910.527,4924.381,4822.442,4942.065,4909.978,61145383900,1.01017788473e+12,-0.549,-0.000112
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2015-06-04,4909.978,4912.945,4647.407,4947.965,4947.102,67495240200,1.0522654376e+12,37.124,0.007561
