ticker,20080530Value,20080530PB,20090601Value,20090601PB,20100601Value,20100601PB,20110601Value,20110601PB,20120601Value,20120601PB,20130531Value,20130531PB,20140530Value,20140530PB,20150601Value,20150601PB
601328,4.31640520423e+11,3.1902,3.57169057195e+11,2.3459,3.17483606395e+11,1.8175,3.20117359555e+11,1.355,2.85911497586e+11,0.9926,3.49777442498e+11,0.8778,2.82940988517e+11,0.6434,5.5697045025e+11,1.1369
601333,36692721660.0,1.6695,32513434830.0,1.4346,26209086900.0,1.1171,28050806520.0,1.1409,22950659880.0,0.8952,19338056010.0,0.7377,17921348610.0,0.67,56384954520.0,2.0877
601398,1.96403083815e+12,3.4663,1.50308482512e+12,2.3613,1.41289973561e+12,1.9648,1.56360587474e+12,1.7953,1.48108897668e+12,1.4495,1.46150617414e+12,1.2239,1.25094735668e+12,0.9208,1.86400472463e+12,1.1821
601600,2.59670167526e+11,4.3944,1.48363632175e+11,2.7934,1.38626000893e+11,2.7159,1.33216205736e+11,2.5638,93318966454.8,1.8373,55585645236.1,1.2976,40843953433.8,0.9657,1.25642492591e+11,4.4212
601628,8.5387673805e+11,5.6126,6.828752728e+11,4.6791,6.8768027265e+11,3.1629,5.387252773e+11,2.5229,4.968935139e+11,2.4259,4.703246912e+11,2.0283,3.9570587e+11,1.7643,1.0299658502e+12,3.4096
601666,48727910895.6,7.5506,37626029123.4,3.8878,29367862662.8,3.4447,32802030435.3,3.2111,27342290491.6,2.4163,15961475278.3,1.3665,9468271577.82,0.8136,19196271450.0,1.6469
601699,49895171400.0,11.2479,43421455080.0,5.074,39751226100.0,3.888,66443800500.0,4.9826,61277866920.0,3.7538,37645734240.0,2.2013,17856411840.0,1.0188,33043566240.0,1.7589
601988,1.20827441116e+12,2.7204,9.31589724573e+11,1.9202,1.04074056424e+12,1.9203,9.29560322667e+11,1.3704,8.45816430025e+11,1.1108,8.23484682096e+11,0.953,7.45903360683e+11,0.767,1.3247450604e+12,1.1746
601998,2.48642401624e+11,2.8894,2.01802388759e+11,2.0534,2.0258305564e+11,1.8845,2.00241054997e+11,1.5779,1.98378266624e+11,1.0823,2.03992745868e+11,0.9809,1.97442520083e+11,0.8298,3.6073029117e+11,1.332
000400,5242849920.0,2.4487,6211226240.0,2.904,12517020480.0,5.5107,11264940160.0,4.6575,7274170560.0,2.8663,14890299008.0,5.1851,19050663958.0,4.0201,32316889965.0,5.6895
000931,6761966338.8,11.8885,3981596946.0,6.3223,4791413274.0,7.0683,4899388784.4,7.0399,4467486742.8,6.1847,3765645925.2,5.0159,3441719394.0,6.3936,10885280497.0,17.7049
600062,14292398700.0,6.197,11386277631.0,3.5297,16173278368.9,4.4367,14481058362.8,3.5715,10730732944.0,2.3965,13103271128.2,2.7211,9724548075.48,1.7736,17922666465.0,3.0644
600426,12780435000.0,6.0386,8224492500.0,3.3205,7366845000.0,2.5805,9809622500.0,2.0073,8210711250.0,1.5924,7266622500.0,1.2928,6560940000.0,1.0819,14933767500.0,2.177
600637,4692683340.86,1.9763,2920521958.36,2.5054,4458758038.37,3.7112,8378779016.46,6.4262,16605804878.2,6.1471,26306446091.5,8.1405,35672966482.2,9.1406,99688686493.2,21.9158
